[2026-07-07 15:53:09,634 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:09,657 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:09,682 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:53:09,732 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 19ms |  | 
[2026-07-07 15:53:12,874 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 40ms |  | 
[2026-07-07 15:53:12,969 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 3ms |  | 
[2026-07-07 15:53:12,984 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:13,009 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:13,035 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:36,654 root/INFO]: Logging initialized
[2026-07-07 15:53:38,183 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 6ms |  | 
[2026-07-07 15:53:38,402 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 89ms |  | 
[2026-07-07 15:53:38,404 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:53:38,406 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 88ms |  | 
[2026-07-07 15:53:38,431 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
